SECTION 1,,,,,,,,,,,,,,,,
SECTION 1 - A1,SECTION 1 - A2,SECTION 1 - A3,SECTION 1 - A4,SECTION 1 - A5,SECTION 1 - A6,SECTION 1 - A7,SECTION 1 - A8,SECTION 1 - A9,SECTION 1 - A10,SECTION 1 - A11,SECTION 1 - A12,SECTION 1 - AB13,SECTION 1 - AB14,SECTION 1 - AB15,SECTION 1 - AB16,
SECTION 2 - RACK 1 - D1,SECTION 2 - RACK 1 - D2,SECTION 2 - RACK 1 - D3,SECTION 2 - RACK 2 - D1,SECTION 2 - RACK 2 - D2,SECTION 2 - RACK 2 - D3,SECTION 2 - RACK 2 - D4,,,,,,,,,,
SECTION 2 - RACK 1 - E1,SECTION 2 - RACK 1 - E2,SECTION 2 - RACK 1 - E3,SECTION 2 - RACK 2 - E1,SECTION 2 - RACK 2 - E2,SECTION 2 - RACK 2 - E3,SECTION 2 - RACK 2 - E4,,,,,,,,,,
,,,,,,,,,,,,,,,,
SECTION 3,,,,,,,,,,,,,,,,
SECTION 3 - RACK 1 - A1,SECTION 3 - RACK 1 - A2,SECTION 3 - RACK 2 - A12,,SECTION 3 - RACK 3 - A123456,,,,,,SECTION 3 - RACK 4 - A1,,,,,,
SECTION 3 - RACK 1 - B1,SECTION 3 - RACK 1 - B2,SECTION 3 - RACK 2 - B1,SECTION 3 - RACK 2 - B2,SECTION 3 - RACK 3 - B1,SECTION 3 - RACK 3 - B2,SECTION 3 - RACK 3 - B3,SECTION 3 - RACK 3 - B4,SECTION 3 - RACK 3 - B5,SECTION 3 - RACK 3 - B6,SECTION 3 - RACK 4 - B1,,,,,,
SECTION 3 - RACK 1 - C1,SECTION 3 - RACK 1 - C2,SECTION 3 - RACK 2 - C1,SECTION 3 - RACK 2 - C2,SECTION 3 - RACK 3 - C1,SECTION 3 - RACK 3 - C2,SECTION 3 - RACK 3 - C3,SECTION 3 - RACK 3 - C4,SECTION 3 - RACK 3 - C5,SECTION 3 - RACK 3 - C6,SECTION 3 - RACK 4 - C1,,,,,,
SECTION 3 - RACK 1 - D1,SECTION 3 - RACK 1 - D2,SECTION 3 - RACK 2 - D1,SECTION 3 - RACK 2 - D2,SECTION 3 - RACK 3 - D1,SECTION 3 - RACK 3 - D2,SECTION 3 - RACK 3 - D3,SECTION 3 - RACK 3 - D4,SECTION 3 - RACK 3 - D5,SECTION 3 - RACK 3 - D6,SECTION 3 - RACK 4 - D1,,,,,,
SECTION 3 - RACK 1 - E1,SECTION 3 - RACK 1 - E2,SECTION 3 - RACK 2 - E1,SECTION 3 - RACK 2 - E2,SECTION 3 - RACK 3 - E1,SECTION 3 - RACK 3 - E2,SECTION 3 - RACK 3 - E3,SECTION 3 - RACK 3 - E4,SECTION 3 - RACK 3 - E5,SECTION 3 - RACK 3 - E6,SECTION 3 - RACK 4 - E1,,,,,,
,,,,,,,,,,,,,,,,
SECTION 4,,,,,,,,,,,,,,,,
SECTION 4 - A1,SECTION 4 - A2,SECTION 4 - A3,SECTION 4 - A4,,,,,,,,,,,,,
SECTION 4 - B1,SECTION 4 - B2,SECTION 4 - B3,SECTION 4 - B4,,,,,,,,,,,,,
SECTION 4 - C1,SECTION 4 - C2,SECTION 4 - C3,SECTION 4 - C4,,,,,,,,,,,,,
SECTION 4 - D1,SECTION 4 - D2,SECTION 4 - D3,SECTION 4 - D4,,,,,,,,,,,,,
SECTION 4 - E1,SECTION 4 - E2,SECTION 4 - E3,SECTION 4 - E4,,,,,,,,,,,,,
SECTION 4 - F1,SECTION 4 - F2,SECTION 4 - F3,SECTION 4 - F4,,,,,,,,,,,,,
SECTION 4 - G1,SECTION 4 - G2,SECTION 4 - G3,SECTION 4 - G4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SECTION 5,,,,,,,,,,,,,,,,
SECTION 5 - A1,SECTION 5 - A2,,,,,,,,,,,,,,,
SECTION 5 - B1,SECTION 5 - B2,,,,,,,,,,,,,,,
SECTION 5 - C1,SECTION 5 - C2,,,,,,,,,,,,,,,
SECTION 5 - D1,SECTION 5 - D2,,,,,,,,,,,,,,,
SECTION 5 - E1,SECTION 5 - E2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CENTRAL RACK,,,,,,,,,,,,,,,,
CENTRAL RACK - A1,CENTRAL RACK - A2,CENTRAL RACK - A3,CENTRAL RACK - A4,CENTRAL RACK - A5,,,,,,,,,,,,
CENTRAL RACK - B1,CENTRAL RACK - B2,CENTRAL RACK - B3,CENTRAL RACK - B4,CENTRAL RACK - B5,,,,,,,,,,,,
CENTRAL RACK - C1,CENTRAL RACK - C2,CENTRAL RACK - C3,CENTRAL RACK - C4,CENTRAL RACK - C5,,,,,,,,,,,,
